uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
17	|		|	root	|		|		|		|		|	
999999	|	17	|	Nototuexample	|		|		|		|	not_otu	|	
16	|	17	|	F	|		|		|		|		|	
15	|	17	|	E	|		|		|		|		|	
14	|	17	|	ABCD	|		|		|		|		|	
13	|	14	|	A	|		|		|		|		|	
12	|	13	|	A12	|		|		|		|		|	
1	|	12	|	A1	|		|		|		|		|	
2	|	12	|	A2	|		|		|		|		|	
3	|	13	|	A3	|		|		|		|		|	
4	|	14	|	B	|		|		|		|		|	
5	|	14	|	C	|		|		|		|		|	
6	|	14	|	D	|		|		|		|		|	
7	|	15	|	E1	|		|		|		|		|	
8	|	15	|	E2	|		|		|		|		|	
9	|	16	|	F1	|		|		|		|		|	
10	|	16	|	F2	|		|		|		|		|	
11	|	17	|	G	|		|		|		|		|	
